"id","sender_id","type_name","timestamp","intent_name","action_name","data"
66,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084767.242499",NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1692084767.242499, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_listen"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
50,"d45ccb3c39f34755bed2f8533553f6ef","user","1692084753.692684","greet",NULL,"{""event"": ""user"", ""timestamp"": 1692084753.692684, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""hello"", ""parse_data"": {""intent"": {""name"": ""greet"", ""confidence"": 0.9999903440475464}, ""entities"": [], ""text"": ""hello"", ""message_id"": ""09aa47ee49384014b827e5e240f5029f"", ""metadata"": {}, ""text_tokens"": [[0, 5]], ""intent_ranking"": [{""name"": ""greet"", ""confidence"": 0.9999903440475464}, {""name"": ""thankyou"", ""confidence"": 5.342380518413847e-06}, {""name"": ""goodbye"", ""confidence"": 2.144279733329313e-06}, {""name"": ""search_venues"", ""confidence"": 1.6858853086887393e-06}, {""name"": ""how_to_get_started"", ""confidence"": 2.3946495275595225e-07}, {""name"": ""deny"", ""confidence"": 2.0087061614049162e-07}, {""name"": ""search_concerts"", ""confidence"": 6.161644705571234e-08}, {""name"": ""compare_reviews"", ""confidence"": 3.591492614418712e-08}, {""name"": ""affirm"", ""confidence"": 2.796068931942841e-09}]}, ""input_channel"": ""cmdline"", ""message_id"": ""09aa47ee49384014b827e5e240f5029f""}"
51,"d45ccb3c39f34755bed2f8533553f6ef","user_featurization","1692084753.699782",NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1692084753.699782, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""use_text_for_featurization"": false}"
52,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084753.6997938",NULL,"utter_greet","{""event"": ""action"", ""timestamp"": 1692084753.6997938, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""utter_greet"", ""policy"": ""RulePolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": true}"
53,"d45ccb3c39f34755bed2f8533553f6ef","bot","1692084753.699827",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692084753.699827, ""metadata"": {""utter_action"": ""utter_greet"", ""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""Hey there!"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
54,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084753.7038138",NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1692084753.7038138, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_listen"", ""policy"": ""RulePolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": true}"
55,"d45ccb3c39f34755bed2f8533553f6ef","user","1692084763.201334","how_to_get_started",NULL,"{""event"": ""user"", ""timestamp"": 1692084763.201334, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""how do I get started"", ""parse_data"": {""intent"": {""name"": ""how_to_get_started"", ""confidence"": 0.9993359446525574}, ""entities"": [], ""text"": ""how do I get started"", ""message_id"": ""17d93b4ef11943b284ab4a00d3737c78"", ""metadata"": {}, ""text_tokens"": [[0, 3], [4, 6], [7, 8], [9, 12], [13, 20]], ""intent_ranking"": [{""name"": ""how_to_get_started"", ""confidence"": 0.9993359446525574}, {""name"": ""compare_reviews"", ""confidence"": 0.0005432852194644511}, {""name"": ""affirm"", ""confidence"": 4.830339094041847e-05}, {""name"": ""thankyou"", ""confidence"": 4.818220259039663e-05}, {""name"": ""search_concerts"", ""confidence"": 2.1665684471372515e-05}, {""name"": ""greet"", ""confidence"": 1.0977221336361254e-06}, {""name"": ""deny"", ""confidence"": 8.976014100881002e-07}, {""name"": ""goodbye"", ""confidence"": 5.587591545008763e-07}, {""name"": ""search_venues"", ""confidence"": 1.6122125146011967e-07}]}, ""input_channel"": ""cmdline"", ""message_id"": ""17d93b4ef11943b284ab4a00d3737c78""}"
56,"d45ccb3c39f34755bed2f8533553f6ef","user_featurization","1692084763.207177",NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1692084763.207177, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""use_text_for_featurization"": false}"
57,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084763.20719",NULL,"utter_get_started","{""event"": ""action"", ""timestamp"": 1692084763.20719, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""utter_get_started"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
58,"d45ccb3c39f34755bed2f8533553f6ef","bot","1692084763.207229",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692084763.207229, ""metadata"": {""utter_action"": ""utter_get_started"", ""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""I can help you find concerts and venues. Do you like music?"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
59,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084763.212781",NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1692084763.212781, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_listen"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
